FCT_ID;FCT_Label;FCT_Version;LIN_ID;LIN_Label;LIN_Version;WKA_ID;WKA_Label;WKA_Version;CTRL_ID;CTRL_Name;CTRL_IPAddress;CTRL_Type;CTRL_Version;TU_ID;TU_Name;TU_Number;TU_Comment;PS_ID;PS_Number;PS_TorqueUnit;PS_Comment;PS_Version;STEP_ID;STEP_Number;STEP_Type;STEP_TorqueTarget;STEP_TorqueMinTolerance;STEP_TorqueMaxTolerance;STEP_AbortTorque;STEP_AngleThreshold;STEP_AngleTarget;STEP_AngleMinTolerance;STEP_AngleMaxTolerance;STEP_AbortAngle;STEP_TorqueRateTarget;STEP_TorqueRateMinTolerance;STEP_TorqueRateMaxTolerance;Tool_ID;TOOL_Number;TOOL_SerialNumber;TOOL_Comment;RES_ID;RES_ResultNumber;RES_StepNumber;RES_RecordType;RES_ResultTypeId;RES_ControllerSerialNumber;RES_CableSerialNumber;RES_Report;RES_VIN;RES_CycleOKCount;RES_DateTime;RES_Time;RES_ErrorCode;RES_StopSource;RES_TorqueAccuracy;RES_FinalTorque;RES_TorqueTrend;RES_FinalAngle;RES_AngleTrend;RES_FinalTorqueRate;RES_TorqueRateTrend;RES_MinCurrent;RES_MaxCurrent;RES_FinalCurrent;RES_FinalCurrent_Percent;RES_MinCurrent_Percent;RES_MaxCurrent_Percent;RES_CurrentTrend;RES_SecondTransducerMode;RES_SecondFinalTorque;RES_SecondFinalAngle;RES_SecondTransducer_TorqueDev;RES_SecondTransducer_AngleDev
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237917;237917;1;0;1;08112300531;0;OK;0;6;2025-06-17 03:44:19 +2;0;0;6;2;2.9787254333496094;3;320.335693359375;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119208;119208;1;0;1;08112300531;0;OK;0;7;2025-06-17 03:44:21 +2;0;0;6;3;2.0042173862457275;3;33.37312316894531;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237918;237918;1;0;1;08112300531;0;OK;0;7;2025-06-17 03:44:24 +2;0;0;6;2;2.9787254333496094;3;644.5720825195312;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237919;237919;1;0;1;08112300531;0;OK;0;8;2025-06-17 03:44:27 +2;0;0;6;2;2.9787254333496094;3;558.053955078125;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119209;119209;1;0;1;08112300531;0;OK;0;8;2025-06-17 03:44:26 +2;0;0;6;3;2.0042173862457275;3;32.13103103637695;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237920;237920;1;0;1;08112300531;0;OK;0;9;2025-06-17 03:44:32 +2;0;0;6;2;3.0009546279907227;3;359.74981689453125;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119210;119210;1;0;1;08112300531;0;OK;0;9;2025-06-17 03:44:31 +2;0;0;6;3;2.0240612030029297;3;36.62218475341797;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237921;237921;1;0;1;08112300531;0;OK;0;10;2025-06-17 03:44:36 +2;0;0;6;2;3.0009546279907227;3;767.761962890625;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112363;TU63-EIBS7-1;63;;81123638;8;0;INV-3.X-BANDEJAS-2;0;811236381;1;21;2;1.7999999523162842;2.200000047683716;0;0.6000000238418579;0;10;2000;0;0;0;0;81123693;63;23A31835;UserComment;119211;119211;1;0;1;08112300531;0;OK;0;10;2025-06-17 03:44:36 +2;0;0;6;3;2.014139413833618;3;17.69658088684082;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
777697;SAN FERNANDO DE HENARES;0;952890;PREMONTAJES;0;975603;BANDEJAS Y PREMONTAJES MECANICOS;0;081123;SFH PREMONTAJES;192.168.7.212;15;0;8112351;TU51-EABC-1;51;;811235122;22;0;INV-3.X-A-3-fijaciones trafos;0;112351221;1;21;3;2.5999999046325684;3.4000000953674316;0;1.5;0;15;999;0;0;0;0;811235151;51;19I65157;UserComment;237922;237922;1;0;1;08112300531;0;OK;0;11;2025-06-17 03:44:41 +2;0;0;6;2;2.9787254333496094;3;440.3053894042969;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
